frame_id,hand_id,手类型,finger_id,finger_name,node_id,node_name,x,y,z
3742,54,右手,3,无名指,2,关节2(中间),25.78,174.93,-93.47
3742,54,右手,3,无名指,3,关节3(指尖),-4.69,185.67,-96.86
3742,54,右手,4,小指,1,关节1(靠近手掌),64.78,153.44,-96.46
3742,54,右手,4,小指,2,关节2(中间),47.89,158.00,-109.67
3742,54,右手,4,小指,3,关节3(指尖),23.25,160.72,-123.71
3743,54,右手,0,拇指,1,关节1(靠近手掌),103.06,168.26,-37.64
3743,54,右手,0,拇指,2,关节2(中间),61.73,176.18,-19.33
3743,54,右手,0,拇指,3,关节3(指尖),22.52,182.39,-0.56
3743,54,右手,1,食指,1,关节1(靠近手掌),40.85,183.03,-53.68
3743,54,右手,1,食指,2,关节2(中间),14.93,186.83,-39.49
3743,54,右手,1,食指,3,关节3(指尖),-9.20,187.91,-21.49
3743,54,右手,2,中指,1,关节1(靠近手掌),44.15,177.32,-68.59
3743,54,右手,2,中指,2,关节2(中间),10.31,182.62,-68.52
3743,54,右手,2,中指,3,关节3(指尖),-29.67,186.73,-60.36
3743,54,右手,3,无名指,1,关节1(靠近手掌),51.65,167.11,-83.45
3743,54,右手,3,无名指,2,关节2(中间),22.59,177.61,-88.40
3743,54,右手,3,无名指,3,关节3(指尖),-7.30,188.02,-90.33
3743,54,右手,4,小指,1,关节1(靠近手掌),61.24,156.12,-92.42
3743,54,右手,4,小指,2,关节2(中间),44.43,160.74,-105.76
3743,54,右手,4,小指,3,关节3(指尖),19.74,163.37,-119.23
3744,54,右手,0,拇指,1,关节1(靠近手掌),99.67,169.59,-34.03
3744,54,右手,0,拇指,2,关节2(中间),59.07,176.52,-14.74
3744,54,右手,0,拇指,3,关节3(指尖),20.69,182.30,4.83
3744,54,右手,1,食指,1,关节1(靠近手掌),37.54,184.96,-48.72
3744,54,右手,1,食指,2,关节2(中间),11.67,188.94,-35.13
3744,54,右手,1,食指,3,关节3(指尖),-13.60,190.83,-17.67
3744,54,右手,2,中指,1,关节1(靠近手掌),40.75,179.67,-63.87
3744,54,右手,2,中指,2,关节2(中间),7.16,185.12,-63.28
3744,54,右手,2,中指,3,关节3(指尖),-32.73,189.40,-54.77
3744,54,右手,3,无名指,1,关节1(靠近手掌),48.15,169.88,-79.19
3744,54,右手,3,无名指,2,关节2(中间),19.27,180.13,-83.19
3744,54,右手,3,无名指,3,关节3(指尖),-9.97,190.09,-84.29
3744,54,右手,4,小指,1,关节1(靠近手掌),57.68,159.20,-88.61
3744,54,右手,4,小指,2,关节2(中间),40.92,163.91,-101.84
3744,54,右手,4,小指,3,关节3(指尖),16.35,166.11,-114.69
