frame_id,hand_id,hand_type,finger_id,finger_name,bone_name,start_x,start_y,start_z,end_x,end_y,end_z
43365,36,right,0,Thumb,Distal,25.14,131.40,-133.34,23.75,128.87,-149.71
43365,36,right,1,Index,Metacarpal,6.22,143.68,-65.45,-13.53,155.40,-131.60
43365,36,right,1,Index,Proximal,-13.53,155.40,-131.60,-26.72,154.07,-159.89
43365,36,right,1,Index,Intermediate,-26.72,154.07,-159.89,-34.19,153.02,-179.34
43365,36,right,1,Index,Distal,-34.19,153.02,-179.34,-39.65,153.29,-195.09
43365,36,right,2,Middle,Metacarpal,-1.21,146.02,-64.13,-26.90,161.80,-123.30
43365,36,right,2,Middle,Proximal,-26.90,161.80,-123.30,-47.22,159.20,-151.31
43365,36,right,2,Middle,Intermediate,-47.22,159.20,-151.31,-61.54,157.70,-172.39
43365,36,right,2,Middle,Distal,-61.54,157.70,-172.39,-70.75,157.89,-188.24
43365,36,right,3,Ring,Metacarpal,-8.51,153.44,-60.40,-37.84,172.08,-108.85
43365,36,right,3,Ring,Proximal,-37.84,172.08,-108.85,-61.99,168.64,-130.76
43365,36,right,3,Ring,Intermediate,-61.99,168.64,-130.76,-75.84,165.73,-144.31
43365,36,right,3,Ring,Distal,-75.84,165.73,-144.31,-85.06,163.93,-156.71
43365,36,right,4,Pinky,Metacarpal,-8.77,162.51,-53.30,-41.98,181.43,-93.12
43365,36,right,4,Pinky,Proximal,-41.98,181.43,-93.12,-61.66,185.71,-102.73
43365,36,right,4,Pinky,Intermediate,-61.66,185.71,-102.73,-75.90,189.01,-111.03
43365,36,right,4,Pinky,Distal,-75.90,189.01,-111.03,-84.90,191.16,-117.79
43366,36,right,0,Thumb,Metacarpal,15.16,151.03,-70.67,15.16,151.03,-70.67
43366,36,right,0,Thumb,Proximal,15.16,151.03,-70.67,20.19,137.07,-113.60
43366,36,right,0,Thumb,Intermediate,20.19,137.07,-113.60,20.65,131.14,-137.67
43366,36,right,0,Thumb,Distal,20.65,131.14,-137.67,19.18,128.54,-153.89
43366,36,right,1,Index,Metacarpal,2.13,144.03,-70.31,-18.33,154.79,-135.96
43366,36,right,1,Index,Proximal,-18.33,154.79,-135.96,-31.45,152.73,-163.90
43366,36,right,1,Index,Intermediate,-31.45,152.73,-163.90,-38.99,151.17,-183.11
43366,36,right,1,Index,Distal,-38.99,151.17,-183.11,-44.59,151.07,-198.72
43366,36,right,2,Middle,Metacarpal,-5.32,146.26,-68.87,-31.67,161.04,-127.56
43366,36,right,2,Middle,Proximal,-31.67,161.04,-127.56,-52.26,157.90,-154.89
43366,36,right,2,Middle,Intermediate,-52.26,157.90,-154.89,-66.83,156.02,-175.46
43366,36,right,2,Middle,Distal,-66.83,156.02,-175.46,-76.28,155.96,-191.02
43366,36,right,3,Ring,Metacarpal,-12.69,153.64,-65.16,-42.58,171.31,-113.18
43366,36,right,3,Ring,Proximal,-42.58,171.31,-113.18,-66.69,167.12,-134.24
43366,36,right,3,Ring,Intermediate,-66.69,167.12,-134.24,-80.59,163.68,-147.42
43366,36,right,3,Ring,Distal,-80.59,163.68,-147.42,-89.96,161.43,-159.57
43366,36,right,4,Pinky,Metacarpal,-13.03,162.79,-58.19,-46.71,180.77,-97.58
43366,36,right,4,Pinky,Proximal,-46.71,180.77,-97.58,-66.59,184.71,-106.54
43366,36,right,4,Pinky,Intermediate,-66.59,184.71,-106.54,-81.01,187.79,-114.35
43366,36,right,4,Pinky,Distal,-81.01,187.79,-114.35,-90.16,189.78,-120.86
43367,36,right,0,Thumb,Metacarpal,10.96,151.53,-75.12,10.96,151.53,-75.12
43367,36,right,0,Thumb,Proximal,10.96,151.53,-75.12,15.77,137.55,-117.60
43367,36,right,0,Thumb,Intermediate,15.77,137.55,-117.60,15.97,131.49,-141.42
43367,36,right,0,Thumb,Distal,15.97,131.49,-141.42,14.19,128.74,-157.60
43367,36,right,1,Index,Metacarpal,-1.82,144.35,-74.48,-23.24,154.29,-139.54
43367,36,right,1,Index,Proximal,-23.24,154.29,-139.54,-36.28,151.86,-167.14
43367,36,right,1,Index,Intermediate,-36.28,151.86,-167.14,-43.76,150.11,-186.18
43367,36,right,1,Index,Distal,-43.76,150.11,-186.18,-49.36,149.84,-201.69
43367,36,right,2,Middle,Metacarpal,-9.27,146.51,-72.90,-36.50,160.43,-130.97
43367,36,right,2,Middle,Proximal,-36.50,160.43,-130.97,-57.56,156.51,-157.68
43367,36,right,2,Middle,Intermediate,-57.56,156.51,-157.68,-72.41,154.03,-177.88
43367,36,right,2,Middle,Distal,-72.41,154.03,-177.88,-82.06,153.58,-193.29
43367,36,right,3,Ring,Metacarpal,-16.70,153.83,-69.11,-47.34,170.66,-116.55
43367,36,right,3,Ring,Proximal,-47.34,170.66,-116.55,-71.61,165.80,-136.95
43367,36,right,3,Ring,Intermediate,-71.61,165.80,-136.95,-85.62,161.90,-149.90
43367,36,right,3,Ring,Distal,-85.62,161.90,-149.90,-95.15,159.26,-161.88
43367,36,right,4,Pinky,Metacarpal,-17.13,163.02,-62.23,-51.40,180.17,-101.05
43367,36,right,4,Pinky,Proximal,-51.40,180.17,-101.05,-71.53,183.77,-109.45
43367,36,right,4,Pinky,Intermediate,-71.53,183.77,-109.45,-86.00,186.71,-116.86
43367,36,right,4,Pinky,Distal,-86.00,186.71,-116.86,-95.17,188.66,-123.10
43368,36,right,0,Thumb,Metacarpal,6.93,152.13,-79.14,6.93,152.13,-79.14
